No,기관코드,수정전 기관명,기관명,국가코드,국가,유형,수정전 기관명(한글명),기관명(한글명),,기관명(약어),수정전 수집url,수집url,비고,BRM대분류,연간 수집 예상 수량,수집제외,기관명(기타1),기관명(기타2),기관명(기타3),2025년 수집 건수,현재사용
132,Z00144,,Health Canada,CA,캐나다,정부기관,,보건부,,,,https://www.canada.ca/en/health-canada.html,,보건,9,,,,,,X
133,Z00145,,Fisheries and Oceans Canada,CA,캐나다,정부기관,,수산해양부,,FOC,,https://www.dfo-mpo.gc.ca/index-eng.html,,해양수산,9,,,,,,X
134,Z00146,Status of Women Canada,Women and Gender Equality Canada,CA,캐나다,정부기관,여성부,여성성평등부,,WAGE,,https://women-gender-equality.canada.ca/en/research.html,home > what we are doing > research,"사회복지
일반공공행정",9,,,,,,X
135,Z00147,,Public Health Agency of Canada,CA,캐나다,정부기관,,연방공공보건청,,PHAC,,https://www.canada.ca/en.html,,보건,9,,,,,,X
136,Z00148,Indigenous and Northern Affairs Canada,Crown-Indigenous Relations and Northern Affairs Canada,CA,캐나다,정부기관,"원주민,북방부",왕실-원주민관계북방부,INAC,CIRNAC,,https://www.canada.ca/en.html,,일반공공행정,9,,,,,,X
137,Z00149,,Department of Finance Canada,CA,캐나다,정부기관,,재무부,,,,https://www.canada.ca/en/department-finance/services/publications.html,,재정.세재.금융,9,,,,,,X
138,Z00150,,Natural Resources Canada,CA,캐나다,정부기관,,천연자원부,,NRCan,,https://www.nrcan.gc.ca/home,,"지역개발
환경",9,,,,,28,X
139,Z00151,,Agriculture and Agri-Food Canada ,CA,캐나다,정부기관,,농업농산식품부 ,,,,https://agriculture.canada.ca/en,,농림,9,,,,,,X
140,Z00152,,Bank of Canada,CA,캐나다,정부기관,,캐나다은행,,BoC,,https://www.bankofcanada.ca/publications/,home > publications,금융,9,,,,,,X
141,Z00153,,Statistics Canada,CA,캐나다,정부기관,,통계청,,,,https://www150.statcan.gc.ca/n1/en/type/analysis?MM=1,home > analysis,"금융, 보건",35,,,,,181,
142,Z00154,,"Innovation, Science and Economic Development Canada",CA,캐나다,정부기관,,"혁신, 과학 및 경제개발부",,ISED,,https://ised-isde.canada.ca/site/publications/en/publications,home > what we are doing > publications,과학기술,9,"자료 형식 부적합
20년도 이후 업로드 안됨",,,,,X
143,Z00155,,Environment and Climate Change Canada,CA,캐나다,정부기관,,환경부,,ECCC,,https://publications.gc.ca/site/eng/search/advancedSearch.html?st=2&ssti=1&_ssti=on&tst=&stop=1&stst=&abop=1&abst=&sop=1&sst=&daop=1&dast=%22environment+and+climate+change+canada%22&iiop=1&iist=&gcnop=1&gcnst=&dcnop=1&dcnst=&m=1&_m=on&s=1&_s=on&pf=0&lang=any&pylb=&pyub=&acqsd=&acqed=&hpp=25,home > what we are doing > publications,환경,17,,Environment Canada,,,,
144,Z00156,,Australian Government Department of Defence,AT,호주,정부기관,,국방부,,ADOD,,https://www.defence.gov.au/,,국방,9,,,,,,X
145,Z00157,,Australian Government Department of Communications and the Arts,AT,호주,정부기관,,호주 커뮤니케이션 예술부처,,,,https://www.arts.gov.au/publications,home > publications,문화,9,"자료 형식 부적합
장기간 업로드 안됨",,,,,X
146,Z00158,,Australian Government Attorney-General's Department,AT,호주,정부기관,,법무부,,AGD,,"https://www.ag.gov.au/rights-and-protections/publications
https://www.ag.gov.au/industrial-relations/publications
https://www.ag.gov.au/legal-system/publications
https://www.ag.gov.au/crime/publications
https://www.ag.gov.au/national-security/publications
https://www.ag.gov.au/integrity/publications
https://www.ag.gov.au/international-relations/publications","home > rights-and-protections/publications
home > industrial-relations/publications
home > legal-system/publications
home > crime/publications
home > national-security/publications
home > integrity/publications
home > international-relations/publications
",일반공공행정,9,장기간 업로드 안됨,,,,1,X
147,Z00159,Australian Government Department of Health,Australian Government Department of Health and Aged Care,AT,호주,정부기관,보건부,보건노인돌봄부,,DoHAC,,https://www.health.gov.au/initiatives-and-programs,home > initiatives and programs,보건,9,장기간 업로드 안됨,"Department of Health, GOV.AUS",,,82,X
148,Z00160,,"Australian Government Department of Industry, Innovation and Science",AT,호주,정부기관,,산업과학부,,DIIS,,https://www.industry.gov.au/topic/data-and-publications-0,home > publications,과학기술,9,,,,,,X
149,Z00161,,Australian Government Department of the Environment and Energy,AT,호주,정부기관,,에너지환경부,,,,https://www.awe.gov.au/,,"환경
산업.통상.중소기업",9,,,,,,X
150,Z00162,,Australian Government Department of Foreign Affairs and Trade,AT,호주,정부기관,,외교통상부,,ADFAT,,https://www.dfat.gov.au/about-us/publications,home > about us > publications,"외교, 통상, 산업",17,,,,,13,
151,Z00163,,Australian Government Department of Immigration and Border Protection,AT,호주,정부기관,,이민성,,,,https://www.homeaffairs.gov.au/reports-and-publications/reports,home > reports and publications > reports,일반공공행정,9,,,,,,X
152,Z00164,,Australian Government Department of Human Services,AT,호주,정부기관,,인적서비스부,,,,https://www.servicesaustralia.gov.au/,,사회복지,9,,,,,,X
153,Z00165,,Australian Government The Treasury,AT,호주,정부기관,,재무부,,,,https://treasury.gov.au/publication,home > publications,"금융, 세재, 재정",17,,,,,9,
154,Z00166,,Australian Government Department of Finance,AT,호주,정부기관,,재정부,,,,https://www.finance.gov.au/publications,home > publications,"재정, 세재, 금융",9,,,,,,X
155,Z00167,,Australian Government Department of the Prime Minister and Cabinet,AT,호주,정부기관,,총리내각부,,PM&C,,https://www.pmc.gov.au/resource-centre,home > resource centre,과학기술,17,,,,,2,
156,Z00168,,Australian Institute of Family Studies,AT,호주,정부기관,,가족학연구소,,AIFS,,https://aifs.gov.au/publications/search?f%5B0%5D=bm_field_retired_publication%3Aorbm_field_retired_publication%3Afalse,home > publications > all publications,사회복지,9,,,,,10,X
157,Z00169,"Australian Government Department of Agriculture, Water and the Environment","Australian Government Department of Agriculture, Fisheries and Forestry",AT,호주,정부기관,,농업수자원부환경부,ADAWE,DAFF,,https://www.awe.gov.au/about/publications/list,home > about us > publications ,"농림, 해양수산",9,"자료적으며 
1년 주기의 업로드",,,,,X
158,Z00170,,Bureau of Infrastructure Transport and Research Economics,AT,호주,정부기관,인프라 및 지역개발부,인프라교통연구경제국,,BITRE,,https://www.bitre.gov.au/publications,home > publications,지역개발,9,19년도 이후 자료 업로드 안함,,,,,X
159,Z00171,,Australian Trade and Investment Commission,AT,호주,정부기관,,무역투자부,,Austrade,,https://www.austrade.gov.au/news/publications,home > news > publications,"산업, 통상, 중소기업",9,"통계자료, 프레젠테이션",,,,,X
160,Z00172,,Australian Institute of Criminology,AT,호주,정부기관,,범죄학연구소,,AIC,,https://www.aic.gov.au/publications,home > publications,공공질서 및 안전,17,,,,,23,
161,Z00173,,Australian Institute of Health and Welfare,AT,호주,정부기관,,보건복지연구소,,AIHW,,https://www.aihw.gov.au/reports-data,home > reports & data,보건,9,,,,,29,X
162,Z00174,,Safe Work Australia,AT,호주,정부기관,,산업안전협회,,SWA,,https://www.safeworkaustralia.gov.au/resources-and-publications,home > resources and publications,"산업, 보건, 사회복지",9,,,,,1,X
163,Z00175,,Australian Bureau of Statistics,AT,호주,정부기관,,통계청,,ABS,,https://www.abs.gov.au/statistics/research,home > statistics > research,"일반공공행정
사회복지",9,,,,,,X
164,Z00232,,Bureau of Ocean Energy Management,US,미국,정부기관,,해양에너지관리국,,BOEM,,"https://www.boem.gov/renewable-energy-research-completed-studies
https://www.boem.gov/newsroom/library/science-notes
https://www.boem.gov/marine-mineral-studies

https://www.boem.gov/marine-minerals/marine-mineral-research-studies/marine-mineral-resource-evaluation-research","home > environment > environmental studies > completed studies
home > newsroom > science notes
home > marine mineral > marine mineral research & studies
home > marine minerals > marine mineral research & studies > marine mineral resource evaluation research
","환경, 해양수산",9,,,,,,X
165,Z00233,,"Department for Exiting the European Union, GOV. UK",GB,영국,정부기관,,브렉시트부,,DExEU,,"https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-for-exiting-the-european-union&parent=department-for-exiting-the-european-union

https://www.gov.uk/search/policy-papers-and-consultations?organisations%5B%5D=department-for-exiting-the-european-union&parent=department-for-exiting-the-european-union","home > document > see all research and statistics

home > document > see all policy papers and consultations",외교,9,자료 형식 부적합,,,,,X
166,Z00234,,UK Department for International Trade,GB,영국,정부기관,,국제무역부,,DIT,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-for-international-trade&parent=department-for-international-trade,home > document > see all research and statistics,통상,9,자료 많지만 단순통계자료 多,,,,,X
167,Z00235,,UK Department for Business Energy and Industrial Strategy,GB,영국,정부기관,,기업에너지산업전략부,,BEIS,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-for-business-energy-and-industrial-strategy&parent=department-for-business-energy-and-industrial-strategy,home > document > see all research and statistics,"산업, 중소기업",17,,,,,2,
168,Z00236,,Woodrow Wilson Center,US,미국,연구기관,,우드로윌슨센터,,,,https://www.wilsoncenter.org/insight-analysis,home > menu > insight & analysis,"외교, 환경",17,,Woodrow Wilson International Center,,,24,
169,Z00238,,Parks Canada,CA,캐나다,정부기관,,캐나다 국립공원 관리청,,PC,,https://www.pc.gc.ca/en/agence-agency/bib-lib/rapports-reports,home > reports and statistics,문화,9,"자료 적음
자료 형식 및 주제 부적합",,,,,X
170,Z00239,,Industry Canada,CA,캐나다,정부기관,,산업부,,,,https://ised-isde.canada.ca/site/publications/en/publications,,산업.통상.중소기업,9,,,,,,X
171,Z00240,,Australian Bureau of Agricultural and Resource Economics and Sciences,AT,호주,정부기관,,호주 농림수산부 산하 농업자원경제과학국,,ABARES,,https://www.awe.gov.au/abares/products,home > product,"농림, 해양수산",17,,,,,,
172,Z00241,,Privy Council Office,CA,캐나다,정부기관,,추밀원,,PCO,,https://www.canada.ca/en/privy-council/corporate/reports-publications.html,,일반공공행정,9,,,,,,X
173,Z00242,Aboriginal Affairs and Northern Development Canada,Crown-Indigenous Relations and Northern Affairs Canada,CA,캐나다,정부기관,"원주민문제,북방개발부",왕실-원주민관계북방부,AANDC,CIRNAC,,https://www.canada.ca/en/indigenous-northern-affairs.html,,"사회복지
일반공공행정",9,,,,,,X
174,Z00243,,Council of Economic Advisers,US,미국,정부기관,,미국 경제자문위원회,,CEA,,https://www.whitehouse.gov/cea/,home > briefing room,산업.통상.중소기업,9,,,,,,X
175,Z00244,,Australian Government Department of Social Services,AT,호주,정부기관,,사회서비스부,,DSS,,https://www.dss.gov.au/,,사회복지,9,,,,,,X
176,Z00245,,Council on Environmental Quality ,US,미국,정부기관,,대통령환경위원회,,CEQ,,https://www.whitehouse.gov/ceq/,home > briefing room,환경 ,9,,,,,,X
177,Z00246,,Australian Government Department of Industry and Science,AT,호주,정부기관,,산업과학부,,,,https://www.industry.gov.au/topic/data-and-publications-0,home > publications,환경,9,,,,,7,X
178,Z00247,,Office of National Drug Control Policy,US,미국,정부기관,,마약통제국,,ONDCP,,https://www.whitehousedrugpolicy.gov/about/index.html,home > briefing room,보건 ,9,,,,,,X
179,Z00248,,Australian Government Department of Immigration and Citizenship,AT,호주,정부기관,,,,,,https://www.homeaffairs.gov.au/,home > keyword search ,일반공공행정 ,9,,,,,,X
180,Z00249,,Foreign Policy In Focus,US,미국,연구기관,,미 외교정책포커스,,FPIF,,https://fpif.org/,,통일. 외교,9,,,,,,X
181,Z00250,,Government of Canada Publications,CA,캐나다,정부기관,,정부간행물출판국,,,,https://www.canada.ca/en.html,,"일반공공행정
사회복지",9,,,,,,X
182,Z00251,Canadian Polar Commission,Polar Knowledge Canada,CA,캐나다,연구기관,캐나다 북극연구소,극지지식청,,POLAR,,http://www.polarcom.gc.ca/eng/content/publications,home > communicating > publication,과학기술,9,14년 이후 자료 업로드 안됨,,,,,X
183,Z00252,,Polar Knowledge Canada,CA,캐나다,연구기관,,캐나다 극지지식청,,POLAR,,https://www.canada.ca/en/polar-knowledge/reports.html,home > what we are doing > report,과학기술,9,,,,,,X
184,Z00253,,Canadian Food Inspection Agency,CA,캐나다,정부기관,,식품검역청,,CFIA,,https://inspection.canada.ca/science-and-research/our-research-and-publications/eng/1495210110540/1495210111055,home > what we are doing > all related science > our research and publications,농림,9,,,,,,X
185,Z00254,,Australian Government Department of Communications,AT,호주,정부기관,,통신부,,,,https://www.infrastructure.gov.au/department/media/publications,home > the department > publications,통신,9,자료 형식 부적합,,,,,X
186,Z00255,,"Australian Government Department of Families, Housing, Community Services and Indigenous Affairs",AT,호주,정부기관,,"가족, 주택 및 지역사회 서비스부",,FHCSIA,,https://www.dss.gov.au/about-the-department/publications-articles,home > about the department > publications & articles,사회복지,9,장기간 업로드 안됨,,,,,X
187,Z00256,Infocomm Development Authority of Singapore,Infocomm Media Development Authority,SI,싱가포르,정부기관,인포컴 개발청,정보통신미디어개발청,IDA,IMDA,http://www.ida.gov.sg/,https://www.imda.gov.sg/,home > who we are > corporate publication ,과학기술,9,,"Infocomm Development Authority of Singapore, IDA Singapore",,,,X
188,Z00257,,UK HM Revenue & Customs,GB,영국,정부기관,,관세청,,HMRC,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=hm-revenue-customs&parent=hm-revenue-customs,home > documents > see all research and statistics,"세재, 금융",17,,,,,,
189,Z00258,,Office of the Parliamentary Budget Officer,CA,캐나다,정부기관,,국회예산실,,PBO,,https://www.pbo-dpb.gc.ca/en/publications--publications,home > publication,재정,17,,,,,22,
190,Z00260,,U.S. Department of the Interior,US,미국,정부기관,,내무부,,,,https://www.doi.gov/,,"지역개발
환경 ",9,,,,,,X
191,Z00261,,"Australian Trade Commission, Austrade ",AT,호주,정부기관,,호주무역위원회,,,,https://www.austrade.gov.au/news/publications,home > news > publications,"산업, 통상, 중소기업",9,,,,,,X
192,Z00262,,U.S. Department of Justice,US,미국,정부기관,,미 법무부,,DOJ,,https://www.justice.gov/publications,home > publications,일반공공행정,9,,U.S. Department of Justice,,,,X
193,Z00263,,"Australian Government Department of Infrastructure, Regional Development and Cities Bureau of Infrastructure, Transport and Regional Economics",AT,호주,정부기관,,인프라교통지역경제부,,BITRE,,https://www.bitre.gov.au/publications,home > publications,지역개발,9,19년도 이후 자료 업로드 안함,,,,,X
194,Z00264,,Indigenous Services Canada,CA,캐나다,정부기관,,원주민서비스부,,ISC,,https://publications.sac-isc.gc.ca/PubCBW/publication/catalog.aspx?l=E,home > what we are doing > all related publications,사회복지,9,자료 PDF 평균 분량 1~3장,,,,,X
195,Z00265,,Australian Government Department of Home Affairs,AT,호주,정부기관,,내무부,,,,https://www.homeaffairs.gov.au/reports-and-publications/reports,home > reports & publications ,일반공공행정 ,9,,,,,,X
196,Z00268,,"Department for Digital, Culture, Media & Sport",GB,영국,정부기관,,디지털문화미디어스포츠부,,DCMS,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-for-digital-culture-media-sport&parent=department-for-digital-culture-media-sport,home > document > see all research and statistics,문화체육관광,9,,,,,,X
197,Z00269,"Ministry of Housing, Communities & Local Government, GOV. UK ","UK Ministry of Housing, Communities and Local Government",GB,영국,정부기관,,"주택, 지역사회 및 지방자치부",,MHCLG,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=ministry-of-housing-communities-and-local-government&parent=ministry-of-housing-communities-and-local-government,home > document > see all research and statistics,지역개발,9,,,,,,X
198,Z00270,"Department of Health and Social Care, GOV.UK",Department of Health and Social Care,GB,영국,정부기관,,보건사회복지부,,DHSC,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-of-health-and-social-care&parent=department-of-health-and-social-care,home > document > see all research and statistics,보건,9,,,,,,X
199,Z00282,,Bureau of Infrastructure Transport and Research Economics,AT,호주,정부기관,인프라교통지역경제부,인프라교통연구경제국,,BITRE,,https://www.bitre.gov.au/publications,home > publications,지역개발,9,19년도 이후 자료 업로드 안함,,,,,X
200,Z00283,,"Australian Government, Department of Agriculture",AT,호주,정부기관,,,,,,https://www.awe.gov.au/,,농림 ,9,,,,,,X
201,Z00284,,"Australian Government, Department of Infrastructure, Transport, Regional Development and Communications, Bureau of Infrastructure, Transport and Regional Economics",AT,호주,정부기관,,인프라교통지역개발커뮤니케이션부,,,,https://www.infrastructure.gov.au/department/media/publications,home > department > publications,교통,9,자료 형식 부적합,,,,,X
202,Z00285,,Australian Government Department of Industry Science Energy and Resources,AT,호주,정부기관,,산업과학에너지자원부,,DISER,,https://www.industry.gov.au/topic/data-and-publications-0,home > publications,과학기술,9,,,,,,X
203,Z00286,,Services Australia,AT,호주,정부기관,,복지사업부,,,,https://www.servicesaustralia.gov.au/,,사회복지,9,,Department of Human Services,,,,X
204,Z00287,,Norwegian Institute of International Affairs,NO,노르웨이,연구기관,,노르웨이 국제문제연구소,,NUPI,,https://www.nupi.no/nupi_eng/Publications,home > publications,"국방, 외교",9,,Norsk utenrikspolitisk institutt,,,18,X
205,Z00288,,UK Cabinet Office,GB,영국,정부기관,,,,,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=cabinet-office&parent=cabinet-office,home > document > see all research and statistics,일반공공행정,9,,,,,,X
206,Z00289,,"Australian Government, Department of Infrastructure, Transport, Regional Development and Communications",AT,호주,정부기관,,인프라교통지역개발커뮤니케이션부,,,,https://www.infrastructure.gov.au/department/media/publications,home > department > publications,교통,9,자료 형식 부적합,,,,,X
207,Z00290,,Women and Gender Equality Canada,CA,캐나다,정부기관,여성·성평등부,여성성평등부,,WAGE,,https://women-gender-equality.canada.ca/en/research.html,home > What we are doing > all related research,사회복지,9,17년도 이후로 자료 업로드 안됨,,,,,X
208,Z00291,,Chatham House,GB,영국,연구기관,,"왕립국제문제연구소, 채텀 하우스",,RIIA,,https://www.chathamhouse.org/publications/international-affairs-journal,home > publications,과학기술,9,,Chatham House,,,,X
209,Z00292,,European Council on Foreign Relations,GB,영국,연구기관,,유럽외교협의회,,ECFR,,https://ecfr.eu/publications/,home > analysis > publications,외교,9,,,,,39,X
210,Z00293,,International Institution for Strategic Studies,GB,영국,연구기관,,국제전략문제연구소,,IISS,,https://www.iiss.org/blogs/research-paper,home > what we do > research papers,"국방, 외교",17,,,,,틀린 이름,
211,Z00295,"UK Foreign, Commonwealth & Development Office","UK Foreign, Commonwealth & Development Office",GB,영국,정부기관,외교부,외교영연방개발부,,FCDO,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=foreign-commonwealth-development-office&parent=foreign-commonwealth-development-office,home > document > see all research and statistics,외교,17,,,,,,
212,Z00296,Public Health England,UK Health Security Agency,GB,영국,정부기관,공공보건국,영국보건안전청,PHE,UKHSA,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=public-health-england&parent=public-health-england,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=uk-health-security-agency&parent=uk-health-security-agency,home > document > see all research and statistics,보건,17,,,,,,
213,Z00298,,"Australian Government Department of Education, Skills and Employment",AT,호주,정부기관,,교육기술고용부,,DESE,,https://www.dese.gov.au/,,"사회복지
일반공공행정",9,,,,,,X
214,Z00300,,European Central Bank,EU,유럽연합,국제기구,,유럽중앙은행,,ECB,,https://www.ecb.europa.eu/pub/html/index.en.html,,,9,,,,,151,X
215,Z00301,,European Environment Agency,EU,유럽연합,국제기구,,유럽환경청,,EEA,,https://www.eea.europa.eu/en/analysis/publications,,,9,,,,,12,X
216,Z00302,,Australian Institute of Family Studies,AT,호주,정부기관,,,,,,https://aifs.gov.au/publications/search?f%5B0%5D=bm_field_retired_publication%3Aorbm_field_retired_publication%3Afalse,home > publications,사회복지,9,,,,,,X
217,Z00303,,Eurofound,EU,유럽연합,국제기구,,,,,,https://www.eurofound.europa.eu/en/publications,,,9,,,,,27,X
218,Z00304,,Urban Institute,US,미국,연구기관,,어반 인스티튜트,,UI,,https://www.urban.org/,home > research ,사회복지 ,35,,,,,183,
219,Z00305,,National Security Agency,US,미국,정부기관,,미국 국가안보국,,NSA,,https://www.nsa.gov/Press-Room/Press-Releases-Statements/,home > press room ,과학기술,9,,,,,5,X
220,Z00306,,U.S. International Development Finance Corporation,US,미국,정부기관,,국제개발금융공사,,DFC,,https://www.dfc.gov/,,"재정, 세재, 금융",9,,,,,,X
221,Z00307,,Council on Foreign Relations,US,미국,연구기관,,외교협의회,,CFR,,https://www.cfr.org/research-analysis,home > research & analysis,외교,9,,,,,,X
222,Z00308,,Observer Research Foundation,IN,인도,연구기관,,옵저버연구재단,,ORF,,https://www.orfonline.org/research/,home > research,"외교, 국방",35,,,,,158,
223,Z00309,,Centre for European Policy Studies,BE,벨기에,연구기관,,유럽정책연구센터,,CEPS,,https://www.ceps.eu/ceps-publications/,home > publications,금융,9,,,,,69,X
224,Z00310,,Netherlands Institute of International Relations,NL,네덜란드,연구기관,,네덜란드 국제관계연구소,,Clingendael,,https://www.clingendael.org/publications,home > research > all publications,외교,9,,,,,52,X
225,Z00311,,Italian Institute for International Political Studies,IT,이탈리아,연구기관,,이탈리아 국제정치연구소,,ISPI,,https://www.ispionline.it/en/pubblicazioni,home > publications,외교,9,,,,,9,X
226,Z00312,,Elcano Royal Institute,SP,스페인,연구기관,,엘카노왕립연구소,,ERI,,https://www.realinstitutoelcano.org/en/?s=PUBLICATIONS,home > search,환경,9,,,,,8,X
227,Z00313,,Centre for International Governance Innovation,CA,캐나다,연구기관,,국제거버넌스혁신센터,,CIGI,,https://www.cigionline.org/publications/,home > publications,금융,9,,,,,54,X
228,Z00314,,Danish Institute for International Studies,DK,덴마크,연구기관,,덴마크 국제문제연구소,,DIIS,,https://www.diis.dk/en/research,home > research > all publications,외교,9,,,,,52,X
229,Z00315,,Barcelona Centre for International Affairs,EU,유럽연합,연구기관,,바르셀로나 국제정치센터,,CIDOB,,https://www.cidob.org/en/publications,home > publications,외교,9,스페인어 자료 多,,,,23,X
230,Z00316,,Law Library of Congress,US,미국,정부기관,,미의회도서관,,LLC,,https://www.loc.gov/collections/,home > collections,일반공공행정,9,,,,,,X
231,Z00317,,Institute for Defence Studies and Analyses,IN,인도,연구기관,, 인도 국방연구원 ,,IDSA,,https://www.idsa.in/,home > asian strategic review,국방 ,9,,,,,75,X
232,Z00318,,Belfer Center for Science and International Affairs,US,미국,연구기관,,(미국 하버드대학교) 벨퍼국제관계센,,BCSIA,,"https://www.belfercenter.org/research/publication-type/reports-papers

https://www.belfercenter.org/research/publication-type/policybriefs-testimony",home > research > publications > reports / policy brief,환경,9,,,,,30,X
233,Z00319,,The London School of Economics and Political Science IDEAS,GB,영국,연구기관,,(런던정경대학 부설) 국제관계및외교전략연구소,,LSE IDEAS,,https://www.lse.ac.uk/ideas/publications,home > publications,"외교, 국방",9,,,,,7,X
234,Z00320,,Atlantic Council,US,미국,연구기관,,대서양협의회,,AC,,https://www.atlanticcouncil.org/in-depth-research-reports/,home > research & analysis > issue brief and reports,"외교, 국방",35,,,,,75,
235,Z00321,,Istituto Affari Internazionali,IT,이탈리아,연구기관,,이탈리아 국제문제연구소,,IAI,,https://www.iai.it/en/pubblicazioni/lista/all/all,home > publications,외교,35,,,,,114,
236,Z00322,,Bruegel,BE,벨기에,연구기관,,브뤼겔,,,,https://www.bruegel.org/publications/,home > publications,환경,9,,,,,76,X
237,Z00323,,RAND Corporation,US,미국,연구기관,,랜드 연구소,,,,https://www.rand.org/pubs.html,hoem > Latest Reports,"사회복지 
보건",35,,,,,362,
238,Z00324,,Center for American Progress,US,미국,연구기관,,미국진보센터,,CAP,,https://www.americanprogress.org/issues/,home > issue > see all,"사회복지, 환경",9,,,,,6,X
239,Z00325,Faser Institute,Fraser Institute,CA,캐나다,연구기관,프레저 연구소,프레이저 연구소,,FI,,https://www.fraserinstitute.org/research,home > research,"재정, 세제, 사회복지, 교육",35,,,,,82,
240,Z00326,,China Institutes of Contemporary International Relations,CN,중국,연구기관,,중국현대국제관계연구소,,CICIR,,http://www.cicir.ac.cn/NEW/en-us/public.html,,통일. 외교,9,,,,,,X
241,Z00327,,Hellenic Foundation for European and Foreign Policy,GR,그리스,연구기관,,헬레나재단,,ELIAMEP,,https://www.eliamep.gr/en/publications/,home > publications,외교,17,,,,,18,
242,Z00330,,Centre for Strategic Studies,NZ,뉴질랜드,연구기관,,빅토리아대학 전략센터,,CSS,,https://www.csis.org/analysis,home > section > analysis,"국방, 환경",35,,,,,,
243,Z00331,,Chung-Hua Institution for Economic Research,TW,대만,연구기관,,중화경제연구원,,CIER,,https://www.ifw-kiel.de/publications/?q=*&tx_solr%5Bsort%5D=date+desc,home > publications,"통상, 산업",9,,,,,,X
244,Z00332,,Copenhagen Consensus Center,DK,덴마크,연구기관,,코펜하겐 컨센서스 센터,,CCC,,https://www.copenhagenconsensus.com/research-topics,home > research,"환경, 보건, 사회복지",9,,,,,,X
245,Z00334,Carnegie Moscow Center,Carnegie Russia Eurasia Center,RU,러시아,연구기관,카네기재단 국제평화재단(모스코바),카네기 러시아유라시아센터 (베를린),CMC,CREC,https://carnegiemoscow.org/publications/,https://carnegieendowment.org/russia-eurasia,home > publications,"외교, 국방",9,"testimony, commentary, article",,,,60,X
246,Z00335,,Moscow State Institute of International Relations,RU,러시아,연구기관,,모스크바 국립 국제 관계 대학교,,MGIMO,,https://english.mgimo.ru/,,교육,9,,,,,,X
247,Z00337,,Lithuanian Free Market Institute,LT,리투아니아,연구기관,,리투아니아 자유시장 연구소,,LFMI,,https://en.llri.lt/economic-policy-areas,home > economic policy,"산업, 통상, 중소기업",9,,,,,,X
248,Z00338,,Centre for Geopolitical Studies,LT,리투아니아,연구기관,,지정학센터,,CGS,,http://cgsrs.org/publications,home > publications,환경,9,,,,,,X
249,Z00339,,Centre for Public Policy Studies,MY,말레이시아,연구기관,,공공정책연구소,,CPPS,,http://cpps.org.my/publication/,home > publications,일반공공행정,9,"chairman articles, commentary",,,,,X
250,Z00340,,Asian Strategy and Leadership Institute,MY,말레이시아,연구기관,,아시아 전략 리더십 연구소,,ASLI,,https://www.asli.com.my/,,산업.통상.중소기업,9,,,,,,X
251,Z00341,,Institute of Strategic and International Studies,MY,말레이시아,연구기관,,말레이시아 국제전략연구소,,ISIS,,"https://www.isis.org.my/policy-briefs/#
https://www.isis.org.my/all-book-journal/
https://www.isis.org.my/isis-focus-all/
https://www.isis.org.my/apr-report/
https://www.isis.org.my/annual-reports/",home > publications,외교,9,,,,,,X
252,Z00342,,Center for Democracy and Human Rights,ME,몬테네그로,연구기관,,민주주의 인권센터,,CDHR,,https://www.usaid.gov/reports-and-data,home > reports & data,사회복지 ,9,,,,,,X
253,Z00344,,Asia Society Policy Institute,US,미국,연구기관,,아시아 소사이어티 정책연구소,,ASPI,,https://asiasociety.org/policy-institute/publications,home > publications,"사회복지, 외교",9,"article, interview",,,,5,X
254,Z00345,,Hudson Institute,US,미국,연구기관,,허드슨 연구소,,HI,,https://www.hudson.org/research,home > research,금융,9,,,,,60,X
255,Z00346,,National Bureau of Economic Research,US,미국,연구기관,,전미경제연구소,,NBER,,https://www.nber.org/research,home > research > working paper,"금융, 사회복지, 통상, 중소기업, 교육",35,,,,,4,
256,Z00347,,ISEAS - Yusof Ishak Institute,US,미국,연구기관,, ISEAS-유소프 이샥 연구소,,,,https://bookshop.iseas.edu.sg/,home > journal,국방,9,,,,,,X
257,Z00348,,Chicago Council on Global Affairs,US,미국,연구기관,,시카고 국제문제연구소,,CCGA,,https://www.thechicagocouncil.org/research,home > research > all research,"환경, 외교",9,,,,,21,X
258,Z00349,,Inter-American Dialogue,US,미국,연구기관,,미주간대화,,IAD,,https://www.thedialogue.org/analysis/,home > analysis,외교,9,,,,,6,X
259,Z00350,,World Resources Institute,US,미국,연구기관,,세계자원연구소,,WRI,,https://www.wri.org/resources,home > research,환경,17,,,,,47,
260,Z00351,,German Marshall Fund of the United States,US,미국,연구기관,,독일마셜기금,,GMF,,https://www.gmfus.org/,,통일. 외교,9,,,,,34,X
